Name,Category,Format & Duration,Instructions,Equipment Needed,Muscle Groups,Training Goals,Unnamed: 7,Unnamed: 8,Time Domain,Scaling Options,Movement Types,Workout Complexity,Target Stimulus,RX Standards,Score Type,Level,Environment,Equipment Alternatives,Energy System,Coach Notes,Movement Count,Primary Category,Difficulty Score,Movement Patterns,Stimulus,Structure Type,Description,Movement-Level-Metadata,Difficulty-Score-Computed,Difficulty-Label,Estimated-Times,Estimated-Times-Human,Warmup,Coaching-Cues,Scaling-Tiers,Demo-Search-Queries,Training-Adaptation-Tags,Equipment-Footprint,Flavor-Text
Fran,Benchmark (Girl/Classic),For Time (Typically 5-10 minutes),Complete 21-15-9 reps of Thrusters and Pull-ups.,"Barbell (45/30 kgs), Pull-up Bar","Full Body (Quads, Shoulders, Lats, Biceps)","Cardiovascular Endurance, High-Intensity Power",,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",Simple,High-intensity sprint with pulling and barbell cycling.,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Anaerobic Glycolytic (Short),Go unbroken if possible; keep transitions tight; control breathing.,2,Weightlifting,8,"Pull, Push, Squat",Very High Intensity Lactate Threshold (Anaerobic),Standard,One of CrossFit's original benchmark Girl workouts created by Greg Glassman to test metabolic conditioning via thrusters and pull-ups.,"[{""movement"": ""Thruster"", ""reps"": ""21-15 9"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Pull-Up"", ""reps"": """", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}]",9,Elite,"{""RX"": 420, ""Intermediate"": 588, ""Beginner"": 840}",7m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""Complete 10-7-4 reps of Thrusters and Pull-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 21-15-9 reps of Thrusters and Pull-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 21-15-9 reps of Thrusters and Pull-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 21-15-9 reps of Thrusters and Pull-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Fran workout demo Complete 21-15-9 reps of Thrusters and Pull-ups."", ""CF Library Search"": ""Fran workout demo Complete 21-15-9 reps of Thrusters and Pull-ups. CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill, High Difficulty, Lactate Threshold / Conditioning",Full Gym,Fran - A very high intensity lactate threshold (anaerobic) challenge that demands focus and grit.
Grace,Benchmark (Girl/Classic),For Time (Typically 3-6 minutes),Complete 30 Clean & Jerks ((60/45 kgs)).,Barbell (60/45 kgs),"Full Body (Hips, Shoulders, Triceps, Core)","Power, Weightlifting Efficiency",,,Short,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,Simple,Power output and barbell cycling under fatigue.,60/45kg,Time,Intermediate,Gym,Substitute with available equipment.,Anaerobic Glycolytic (Short),Quick singles recommended; avoid early burnout.,1,Weightlifting,2,Hinge,Maximal Power Output (Short),Standard,"Benchmark involving 30 clean and jerks for time, designed to measure power output.","[{""movement"": ""Clean"", ""reps"": ""30 60"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""45 Kgs))."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell (60/45 kgs)"", ""skill_level"": ""Intermediate""}]",4,Moderate,"{""RX"": 270, ""Intermediate"": 378, ""Beginner"": 540}",4m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Complete 15 Clean & Jerks ((30/22 kgs)). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 30 Clean & Jerks ((60/45 kgs)). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 30 Clean & Jerks ((60/45 kgs)). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 30 Clean & Jerks ((60/45 kgs)). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Grace workout demo Complete 30 Clean & Jerks ((60/45 kgs))."", ""CF Library Search"": ""Grace workout demo Complete 30 Clean & Jerks ((60/45 kgs)). CrossFit movement demo""}","Aerobic Endurance, Power/Speed",Moderate,Grace - A maximal power output (short) challenge that demands focus and grit.
Helen,Benchmark (Girl/Classic),3 Rounds For Time,"400m Run, 21 Kettlebell Swings (24/16 kg), 12 Pull-ups.","Kettlebell, Pull-up Bar","Full Body (Hips, Back, Lungs)","Stamina, Cardiovascular Endurance",,,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural, Weightlifting",Moderate,Sustained pacing with moderate running and kettlebell work.,24/16kg,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,Run at steady pace; aim for unbroken swings; fast transitions.,3,Weightlifting,4,"Hinge, Pull",Sustained Pacing (Mixed),Standard,"Girl benchmark combining running, kettlebell swings, and pull-ups.","[{""movement"": ""Run"", ""reps"": ""400"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""Kettlebell Swing"", ""reps"": ""21 24"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Kettlebell"", ""skill_level"": ""Intermediate""}, {""movement"": ""16 Kg)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Kettlebell, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Pull-Up"", ""reps"": ""12"", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Scapular pull-ups, ring rows or banded pull-ups; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Aim for unbroken swings if possible; hinge from the hips.,"{""Beginner"": ""200m Run, 10 Kettlebell Swings (12/8 kg), 6 Pull-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""400m Run, 21 Kettlebell Swings (24/16 kg), 12 Pull-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""400m Run, 21 Kettlebell Swings (24/16 kg), 12 Pull-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""400m Run, 21 Kettlebell Swings (24/16 kg), 12 Pull-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Helen workout demo 400m Run"", ""CF Library Search"": ""Helen workout demo 400m Run CrossFit movement demo""}",Gymnastics Skill,Moderate,Helen - A sustained pacing (mixed) challenge that demands focus and grit.
Cindy,Benchmark (Girl/Classic),AMRAP in 20 Minutes,"Complete as many rounds as possible in 20 minutes of: 5 Pull-ups, 10 Push-ups, 15 Squats.",Pull-up Bar (Optional band for assistance),"Full Body (Back, Chest, Triceps, Legs, Core)","Muscular Endurance, Stamina",,,Long,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Moderate,Long aerobic gymnastics endurance.,Bodyweight or unspecified,Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),Move continuously; avoid red-lining; break push-ups early.,3,Gymnastics,6,"Pull, Push, Squat",Aerobic Gymnastics Endurance,Standard,Classic Girl benchmark AMRAP designed to test pacing and bodyweight endurance.,"[{""movement"": ""Pull-Up"", ""reps"": ""20 5"", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Push-Up"", ""reps"": ""10"", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""Pull-up Bar (Optional band for assistance)"", ""skill_level"": ""Intermediate""}, {""movement"": ""15 Squats."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar (Optional band for assistance)"", ""skill_level"": ""Intermediate""}]",9,Elite,"{""RX_rounds"": 20, ""Intermediate_rounds"": 16, ""Beginner_rounds"": 10, ""Minutes"": 20}",,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""Complete as many rounds as possible in 10 minutes of: 2 Pull-ups, 5 Push-ups, 7 Squats. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete as many rounds as possible in 20 minutes of: 5 Pull-ups, 10 Push-ups, 15 Squats. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete as many rounds as possible in 20 minutes of: 5 Pull-ups, 10 Push-ups, 15 Squats. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete as many rounds as possible in 20 minutes of: 5 Pull-ups, 10 Push-ups, 15 Squats. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Cindy workout demo Complete as many rounds as possible in 20 minutes of: 5 Pull-ups"", ""CF Library Search"": ""Cindy workout demo Complete as many rounds as possible in 20 minutes of: 5 Pull-ups CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Minimal,Cindy - Expect sharp efforts and quick transitions; small mistakes add up.
Karen,Benchmark (Girl/Classic),For Time (Typically 8-15 minutes),Complete 150 Wall Balls ((10/5 kgs)) for time.,Wall Ball (10/5 kgs),"Legs, Shoulders, Core","Muscular Endurance, Mental Toughness",,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,Simple,High-volume leg stamina and mental toughness.,10/5kg,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,Break early into small sets; breathe rhythmically; avoid deep fatigue spikes.,1,Weightlifting,7,Squat,For Time - High Intensity Pacing,Standard,"A benchmark chipper of 150 wall balls, testing pure stamina.","[{""movement"": ""Wall Ball"", ""reps"": ""150 10"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""5 Kgs)) For Time."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Wall Ball (10/5 kgs)"", ""skill_level"": ""Intermediate""}]",8,Hard,"{""RX"": 390, ""Intermediate"": 546, ""Beginner"": 780}",6m 30s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""Complete 75 Wall Balls ((5/2 kgs)) for time. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 150 Wall Balls ((10/5 kgs)) for time. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 150 Wall Balls ((10/5 kgs)) for time. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 150 Wall Balls ((10/5 kgs)) for time. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Karen workout demo Complete 150 Wall Balls ((10/5 kgs)) for time."", ""CF Library Search"": ""Karen workout demo Complete 150 Wall Balls ((10/5 kgs)) for time. CrossFit movement demo""}",Lactate Threshold / Conditioning,Minimal,Karen - A for time - high intensity pacing challenge that demands focus and grit.
Fight Gone Bad,Benchmark (Girl/Classic),"3 Rounds, 1 Minute per Station","Wall Balls ((10/5 kgs)), Sumo Deadlift High-Pulls ((35/25 kgs)), Box Jumps (20 in), Push Presses ((35/25 kgs)), Row (Calories). 1 min rest between rounds.","Wall Ball, Barbell, Box, Rower",Full Body (High volume),"Muscular Endurance, Lactic Acid Tolerance",,,Short,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural, Weightlifting",Complex,,"10/5kg, 35/25kg, 35/25kg",Time/Rounds,Intermediate,Gym,Substitute with available equipment.,Aerobic Endurance (Long),,5,Weightlifting,6,"Hinge, Pull, Push, Squat",General Conditioning (Mixed Stimulus),Standard,Created for UFC fighter B.J. Penn to simulate fight rounds.,"[{""movement"": ""Wall Ball"", ""reps"": ""10"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""5 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Wall Ball, Barbell, Box, Rower"", ""skill_level"": ""Intermediate""}, {""movement"": ""Deadlift"", ""reps"": ""35"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""25 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Wall Ball, Barbell, Box, Rower"", ""skill_level"": ""Intermediate""}, {""movement"": ""Box Jump"", ""reps"": ""20"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Wall Ball, Barbell, Box, Rower"", ""skill_level"": ""Intermediate""}, {""movement"": ""Push Presses ((35"", ""reps"": """", ""type"": ""Weightlifting"", ""pattern"": ""Push"", ""equipment"": ""Wall Ball, Barbell, Box, Rower"", ""skill_level"": ""Intermediate""}, {""movement"": ""25 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Wall Ball, Barbell, Box, Rower"", ""skill_level"": ""Intermediate""}, {""movement"": ""Row"", ""reps"": ""1"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}]",9,Elite,"{""RX"": 420, ""Intermediate"": 588, ""Beginner"": 840}",7m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Air squats and goblet squats progression, ankle mobility; Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""Wall Balls ((5/2 kgs)), Sumo Deadlift High-Pulls ((17/12 kgs)), Box Jumps (10 in), Push Presses ((17/12 kgs)), Row (Calories). 1 min rest between rounds. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Wall Balls ((10/5 kgs)), Sumo Deadlift High-Pulls ((35/25 kgs)), Box Jumps (20 in), Push Presses ((35/25 kgs)), Row (Calories). 1 min rest between rounds. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Wall Balls ((10/5 kgs)), Sumo Deadlift High-Pulls ((35/25 kgs)), Box Jumps (20 in), Push Presses ((35/25 kgs)), Row (Calories). 1 min rest between rounds. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Wall Balls ((10/5 kgs)), Sumo Deadlift High-Pulls ((35/25 kgs)), Box Jumps (20 in), Push Presses ((35/25 kgs)), Row (Calories). 1 min rest between rounds. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Fight Gone Bad workout demo Wall Balls ((10/5 kgs))"", ""CF Library Search"": ""Fight Gone Bad workout demo Wall Balls ((10/5 kgs)) CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Full Gym,Fight Gone Bad - Expect sharp efforts and quick transitions; small mistakes add up.
Bodyweight Blast,Bodyweight/Travel,AMRAP in 15 Minutes,"10 Burpees, 20 Sit-ups, 30 Air Squats.",None (Bodyweight),"Full Body (Core, Legs, Hips)","Aerobic Capacity, Movement Consistency",,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Moderate,,Bodyweight or unspecified,Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),,3,Gymnastics,4,Squat,Aerobic/Mixed (Long AMRAP),Standard,,"[{""movement"": ""Burpee"", ""reps"": ""10"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""None (Bodyweight)"", ""skill_level"": ""Intermediate""}, {""movement"": ""Sit-Up"", ""reps"": ""20"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""None (Bodyweight)"", ""skill_level"": ""Intermediate""}, {""movement"": ""30 Air Squats."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""None (Bodyweight)"", ""skill_level"": ""Intermediate""}]",4,Moderate,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""5 Burpees, 10 Sit-ups, 15 Air Squats. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Burpees, 20 Sit-ups, 30 Air Squats. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Burpees, 20 Sit-ups, 30 Air Squats. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Burpees, 20 Sit-ups, 30 Air Squats. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Bodyweight Blast workout demo 10 Burpees"", ""CF Library Search"": ""Bodyweight Blast workout demo 10 Burpees CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Minimal,Bodyweight Blast - Brutal but fair; pace wisely and prioritize technique.
The Seven,Barbell/Weightlifting,7 Rounds For Time,"7 Handstand Push-ups, 7 Thrusters ((60/45 kgs)), 7 Knees-to-Elbows, 7 Deadlifts ((110/75 kgs)), 7 Burpees, 7 Kettlebell Swings (2pood/1.5pood), 7 Pull-ups.","Barbell, Kettlebell, Rings/Bar",Full Body (Heavy and Gymnastics),"Strength Endurance, High Volume Stamina",,,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",Complex,,"60/45kg, 110/75kg",Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,7,Weightlifting,6,"Hinge, Pull, Push, Squat",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Handstand Push-Up"", ""reps"": ""7"", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""None (bodyweight)"", ""skill_level"": ""Intermediate""}, {""movement"": ""Thruster"", ""reps"": ""7 60"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""45 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rings/Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""7 Knees-To-Elbows"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rings/Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Deadlift"", ""reps"": ""7 110"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""75 Kgs))"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rings/Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Burpee"", ""reps"": ""7"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rings/Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Kettlebell Swing"", ""reps"": ""7 2"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Kettlebell"", ""skill_level"": ""Intermediate""}, {""movement"": ""1.5Pood)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rings/Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Pull-Up"", ""reps"": ""7"", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}]",9,Elite,"{""RX"": 420, ""Intermediate"": 588, ""Beginner"": 840}",7m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Air squats and goblet squats progression, ankle mobility; Shoulder activation: band pull-aparts, push-up progressions; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""3 Handstand Push-ups, 3 Thrusters ((30/22 kgs)), 3 Knees-to-Elbows, 3 Deadlifts ((55/37 kgs)), 3 Burpees, 3 Kettlebell Swings (1pood/1.2pood), 3 Pull-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""7 Handstand Push-ups, 7 Thrusters ((60/45 kgs)), 7 Knees-to-Elbows, 7 Deadlifts ((110/75 kgs)), 7 Burpees, 7 Kettlebell Swings (2pood/1.5pood), 7 Pull-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""7 Handstand Push-ups, 7 Thrusters ((60/45 kgs)), 7 Knees-to-Elbows, 7 Deadlifts ((110/75 kgs)), 7 Burpees, 7 Kettlebell Swings (2pood/1.5pood), 7 Pull-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""7 Handstand Push-ups, 7 Thrusters ((60/45 kgs)), 7 Knees-to-Elbows, 7 Deadlifts ((110/75 kgs)), 7 Burpees, 7 Kettlebell Swings (2pood/1.5pood), 7 Pull-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""The Seven workout demo 7 Handstand Push-ups"", ""CF Library Search"": ""The Seven workout demo 7 Handstand Push-ups CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,The Seven - Expect sharp efforts and quick transitions; small mistakes add up.
Running EMOM,EMOM/Pacing,EMOM for 20 Minutes,Odd Minutes: 15 Burpees. Even Minutes: 200m Run.,None (Bodyweight),"Legs, Cardio, Hips","Pacing Strategy, Anaerobic Threshold",,,Long,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",Simple,,Bodyweight or unspecified,Rounds/Load,Intermediate,Gym,Substitute with available equipment.,Aerobic Endurance (Long),,1,Gymnastics,4,General,Interval Power / Strength-Endurance,EMOM,,"[{""movement"": ""Run"", ""reps"": ""15 200"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",6,Moderate,"{""RX_rounds"": 23, ""Intermediate_rounds"": 18, ""Beginner_rounds"": 11, ""Minutes"": 20}",,5-10 min general cardio (row/jog/bike); Strides or ramped efforts for 6x20s,Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Odd Minutes: 7 Burpees. Even Minutes: 100m Run. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Odd Minutes: 15 Burpees. Even Minutes: 200m Run. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Odd Minutes: 15 Burpees. Even Minutes: 200m Run. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Odd Minutes: 15 Burpees. Even Minutes: 200m Run. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Running EMOM workout demo Odd Minutes: 15 Burpees. Even Minutes: 200m Run."", ""CF Library Search"": ""Running EMOM workout demo Odd Minutes: 15 Burpees. Even Minutes: 200m Run. CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill, Power/Speed",Minimal,Running EMOM - Expect sharp efforts and quick transitions; small mistakes add up.
Weighted Isabel,Barbell/Weightlifting,For Time (Typically 4-8 minutes),Complete 30 Snatches ((60/45 kgs)).,Barbell (60/45 kgs),"Hips, Shoulders, Core","Explosive Power, Barbell Cycling",,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,Simple,,60/45kg,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,1,Weightlifting,2,Hinge,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Snatch"", ""reps"": ""30 60"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""45 Kgs))."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell (60/45 kgs)"", ""skill_level"": ""Intermediate""}]",4,Moderate,"{""RX"": 270, ""Intermediate"": 378, ""Beginner"": 540}",4m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Complete 15 Snatches ((30/22 kgs)). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 30 Snatches ((60/45 kgs)). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 30 Snatches ((60/45 kgs)). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 30 Snatches ((60/45 kgs)). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Weighted Isabel workout demo Complete 30 Snatches ((60/45 kgs))."", ""CF Library Search"": ""Weighted Isabel workout demo Complete 30 Snatches ((60/45 kgs)). CrossFit movement demo""}",Lactate Threshold / Conditioning,Moderate,Weighted Isabel - Brutal but fair; pace wisely and prioritize technique.
