Name,Category,Format & Duration,Instructions,Equipment Needed,Training Goals,Scaling Options,Movement Types,Target Stimulus,Score Type,Level,Environment,Coach Notes,Stimulus,Description,Estimated-Times,Estimated-Times-Human,Warmup,Coaching-Cues,Scaling-Tiers,Flavor-Text,WorkoutID,DifficultyTier,Instructions_Clean
Fran,Benchmark (girl/classic),For Time,complete 21-15-9 reps of thrusters and Pull-ups.,"Barbell (45/30 kgs), Pull-up Bar","Cardiovascular Endurance, High-Intensity Power","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",High-intensity sprint with pulling and barbell cycling.,Time,Intermediate,Gym,Go unbroken if possible; keep transitions tight; control breathing.,Very High Intensity Lactate Threshold (Anaerobic),One of CrossFit's original benchmark Girl workouts created by Greg Glassman to test metabolic conditioning via thrusters and pull-ups.,"{""RX"": 420, ""Intermediate"": 588, ""Beginner"": 840}",7m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""Complete 10-7-4 reps of Thrusters and Pull-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 21-15-9 reps of Thrusters and Pull-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 21-15-9 reps of Thrusters and Pull-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 21-15-9 reps of Thrusters and Pull-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Fran - A very high intensity lactate threshold (anaerobic) challenge that demands focus and grit.,1,Elite,Complete 21-15-9 repetitions of thrusters and pull-ups.
Grace,Benchmark (girl/classic),For Time,complete 30 clean & jerks (60/45 kgs).,Barbell (60/45 kgs),"Power, Weightlifting Efficiency","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,Power output and barbell cycling under fatigue.,Time,Intermediate,Gym,Quick singles recommended; avoid early burnout.,Maximal Power Output (Short),"Benchmark involving 30 clean and jerks for time, designed to measure power output.","{""RX"": 270, ""Intermediate"": 378, ""Beginner"": 540}",4m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Complete 15 Clean & Jerks (30/22 kgs). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 30 Clean & Jerks (60/45 kgs). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 30 Clean & Jerks (60/45 kgs). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 30 Clean & Jerks (60/45 kgs). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Grace - A maximal power output (short) challenge that demands focus and grit.,2,Intermediate,Complete 30 clean & jerks (60/45 kgs).
Helen,Benchmark (girl/classic),For Time,"400m run, 21 Kettlebell swings (24/16 kg), 12 Pull-ups.","Kettlebell, Pull-up Bar","Stamina, Cardiovascular Endurance","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural, Weightlifting",Sustained pacing with moderate running and kettlebell work.,Time,Intermediate,Gym,Run at steady pace; aim for unbroken swings; fast transitions.,Sustained Pacing (Mixed),"Girl benchmark combining running, kettlebell swings, and pull-ups.","{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Scapular pull-ups, ring rows or banded pull-ups; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Aim for unbroken swings if possible; hinge from the hips.,"{""Beginner"": ""200m Run, 10 Kettlebell Swings (12/8 kg), 6 Pull-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""400m Run, 21 Kettlebell Swings (24/16 kg), 12 Pull-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""400m Run, 21 Kettlebell Swings (24/16 kg), 12 Pull-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""400m Run, 21 Kettlebell Swings (24/16 kg), 12 Pull-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Helen - A sustained pacing (mixed) challenge that demands focus and grit.,3,Intermediate,"400m run, 21 kettlebell swings (24/16 kg), 12 pull-ups."
Cindy,Benchmark (girl/classic),AMRAP 20,"complete as many rounds as possible in 20 minutes of: 5 Pull-ups, 10 Push-ups, 15 squats.",Pull-up Bar (Optional band for assistance),"Muscular Endurance, Stamina","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Long aerobic gymnastics endurance.,Rounds,Intermediate,Gym,Move continuously; avoid red-lining; break push-ups early.,Aerobic Gymnastics Endurance,Classic Girl benchmark AMRAP designed to test pacing and bodyweight endurance.,"{""RX_rounds"": 20, ""Intermediate_rounds"": 16, ""Beginner_rounds"": 10, ""Minutes"": 20}",5m 30s,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""Complete as many rounds as possible in 10 minutes of: 2 Pull-ups, 5 Push-ups, 7 Squats. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete as many rounds as possible in 20 minutes of: 5 Pull-ups, 10 Push-ups, 15 Squats. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete as many rounds as possible in 20 minutes of: 5 Pull-ups, 10 Push-ups, 15 Squats. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete as many rounds as possible in 20 minutes of: 5 Pull-ups, 10 Push-ups, 15 Squats. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Cindy - Expect sharp efforts and quick transitions; small mistakes add up.,4,Elite,"Complete as many rounds as possible in 20 minutes of: 5 pull-ups, 10 push-ups, 15 squats."
Karen,Benchmark (girl/classic),For Time,complete 150 wall balls (10/5 kgs) for time.,Wall Ball (10/5 kgs),"Muscular Endurance, Mental Toughness","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,High-volume leg stamina and mental toughness.,Time,Intermediate,Gym,Break early into small sets; breathe rhythmically; avoid deep fatigue spikes.,For Time - High Intensity Pacing,"A benchmark chipper of 150 wall balls, testing pure stamina.","{""RX"": 390, ""Intermediate"": 546, ""Beginner"": 780}",6m 30s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""Complete 75 Wall Balls (5/2 kgs) for time. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 150 Wall Balls (10/5 kgs) for time. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 150 Wall Balls (10/5 kgs) for time. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 150 Wall Balls (10/5 kgs) for time. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Karen - A for time - high intensity pacing challenge that demands focus and grit.,5,Advanced,Complete 150 wall balls (10/5 kgs) complete the following for time.
Fight Gone Bad,Benchmark (girl/classic),"3 Rounds, 1 Minute per Station","wall balls (10/5 kgs), sumo deadlift high-pulls (35/25 kgs), box jumps (20 in), push presses (35/25 kgs), row (calories). 1 min rest between rounds.","Wall Ball, Barbell, Box, Rower","Muscular Endurance, Lactic Acid Tolerance","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural, Weightlifting",High-intensity sprint with pulling and barbell cycling.,Time/Rounds,Intermediate,Gym,Break early into small sets; breathe rhythmically; avoid deep fatigue spikes.,General Conditioning (Mixed Stimulus),Created for UFC fighter B.J. Penn to simulate fight rounds.,"{""RX"": 420, ""Intermediate"": 588, ""Beginner"": 840}",7m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Air squats and goblet squats progression, ankle mobility; Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""Wall Balls (5/2 kgs), Sumo Deadlift High-Pulls (17/12 kgs), Box Jumps (10 in), Push Presses (17/12 kgs), Row (Calories). 1 min rest between rounds. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Wall Balls (10/5 kgs), Sumo Deadlift High-Pulls (35/25 kgs), Box Jumps (20 in), Push Presses (35/25 kgs), Row (Calories). 1 min rest between rounds. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Wall Balls (10/5 kgs), Sumo Deadlift High-Pulls (35/25 kgs), Box Jumps (20 in), Push Presses (35/25 kgs), Row (Calories). 1 min rest between rounds. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Wall Balls (10/5 kgs), Sumo Deadlift High-Pulls (35/25 kgs), Box Jumps (20 in), Push Presses (35/25 kgs), Row (Calories). 1 min rest between rounds. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Fight Gone Bad - Expect sharp efforts and quick transitions; small mistakes add up.,6,Elite,"Wall balls (10/5 kgs), sumo deadlift high-pulls (35/25 kgs), box jumps (20 in), push presses (35/25 kgs), row (calories). 1 min rest between rounds."
Bodyweight Blast,Bodyweight/travel,AMRAP 15,"10 burpees, 20 Sit-ups, 30 air squats.",None (Bodyweight),"Aerobic Capacity, Movement Consistency","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Long aerobic gymnastics endurance.,Rounds,Intermediate,Gym,Move continuously; avoid red-lining; break push-ups early.,Aerobic/Mixed (Long AMRAP),No description available,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",5m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""5 Burpees, 10 Sit-ups, 15 Air Squats. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Burpees, 20 Sit-ups, 30 Air Squats. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Burpees, 20 Sit-ups, 30 Air Squats. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Burpees, 20 Sit-ups, 30 Air Squats. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Bodyweight Blast - Brutal but fair; pace wisely and prioritize technique.,7,Intermediate,"10 burpees, 20 sit-ups, 30 air squats."
The Seven,Barbell/weightlifting,For Time,"7 handstand Push-ups, 7 thrusters (60/45 kgs), 7 knees-to-elbows, 7 deadlifts (110/75 kgs), 7 burpees, 7 Kettlebell swings (2pood/1.5pood), 7 Pull-ups.","Barbell, Kettlebell, Rings/Bar","Strength Endurance, High Volume Stamina","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",General,Time,Intermediate,Gym,"Web search performed for The Seven. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",For Time - High Intensity Pacing,Web search performed for The Seven. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX"": 420, ""Intermediate"": 588, ""Beginner"": 840}",7m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Air squats and goblet squats progression, ankle mobility; Shoulder activation: band pull-aparts, push-up progressions; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""3 Handstand Push-ups, 3 Thrusters (30/22 kgs), 3 Knees-to-Elbows, 3 Deadlifts (55/37 kgs), 3 Burpees, 3 Kettlebell Swings (1pood/1.2pood), 3 Pull-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""7 Handstand Push-ups, 7 Thrusters (60/45 kgs), 7 Knees-to-Elbows, 7 Deadlifts (110/75 kgs), 7 Burpees, 7 Kettlebell Swings (2pood/1.5pood), 7 Pull-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""7 Handstand Push-ups, 7 Thrusters (60/45 kgs), 7 Knees-to-Elbows, 7 Deadlifts (110/75 kgs), 7 Burpees, 7 Kettlebell Swings (2pood/1.5pood), 7 Pull-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""7 Handstand Push-ups, 7 Thrusters (60/45 kgs), 7 Knees-to-Elbows, 7 Deadlifts (110/75 kgs), 7 Burpees, 7 Kettlebell Swings (2pood/1.5pood), 7 Pull-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",The Seven - Expect sharp efforts and quick transitions; small mistakes add up.,8,Elite,"7 handstand push-ups, 7 thrusters (60/45 kgs), 7 knees-to-elbows, 7 deadlifts (110/75 kgs), 7 burpees, 7 kettlebell swings (2pood/1.5pood), 7 pull-ups."
Running EMOM,Emom/pacing,EMOM 20,odd minutes: 15 burpees. even minutes: 200m run.,None (Bodyweight),"Pacing Strategy, Anaerobic Threshold","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",General,Rounds/Load,Intermediate,Gym,"Web search performed for Running EMOM. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",Interval Power / Strength-Endurance,Web search performed for Running EMOM. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX_rounds"": 23, ""Intermediate_rounds"": 18, ""Beginner_rounds"": 11, ""Minutes"": 20}",Time varies by athlete,5-10 min general cardio (row/jog/bike); Strides or ramped efforts for 6x20s,Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Odd Minutes: 7 Burpees. Even Minutes: 100m Run. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Odd Minutes: 15 Burpees. Even Minutes: 200m Run. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Odd Minutes: 15 Burpees. Even Minutes: 200m Run. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Odd Minutes: 15 Burpees. Even Minutes: 200m Run. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Running EMOM - Expect sharp efforts and quick transitions; small mistakes add up.,9,Intermediate,Odd minutes: 15 burpees. even minutes: 200m run.
Weighted Isabel,Barbell/weightlifting,For Time,complete 30 snatches (60/45 kgs).,Barbell (60/45 kgs),"Explosive Power, Barbell Cycling","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,General,Time,Intermediate,Gym,"Web search performed for Weighted Isabel. For detailed coaching advice, pacing strategies, and tips, consult CrossFit.com, BTWB, or certified coaches. Key considerations: maintain consistent pace, focus on movement quality, and scale appropriately for your fitness level.",For Time - High Intensity Pacing,Web search performed for Weighted Isabel. This workout can be researched on CrossFit.com and fitness databases for complete description and background.,"{""RX"": 270, ""Intermediate"": 378, ""Beginner"": 540}",4m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Complete 15 Snatches (30/22 kgs). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Complete 30 Snatches (60/45 kgs). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Complete 30 Snatches (60/45 kgs). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Complete 30 Snatches (60/45 kgs). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Weighted Isabel - Brutal but fair; pace wisely and prioritize technique.,10,Intermediate,Complete 30 snatches (60/45 kgs).
