Movement,Type,Pattern,Skill_Level,MovementID
Thruster,Weightlifting,Squat,Intermediate,1
Pull-Up,Gymnastics,Pull,Intermediate,2
Clean,Weightlifting,Hinge,Intermediate,3
45 Kgs)).,General,General,Intermediate,4
Run,Monostructural,Locomotion,Beginner,5
Kettlebell Swing,Weightlifting,Hinge,Intermediate,6
16 Kg),General,General,Intermediate,7
Push-Up,Gymnastics,Push,Intermediate,8
15 Squats.,General,General,Intermediate,9
Wall Ball,Weightlifting,Squat,Intermediate,10
5 Kgs)) For Time.,General,General,Intermediate,11
5 Kgs)),General,General,Intermediate,12
Deadlift,Weightlifting,Hinge,Intermediate,13
25 Kgs)),General,General,Intermediate,14
Box Jump,General,General,Intermediate,15
Push Presses ((35,Weightlifting,Push,Intermediate,16
Row,Monostructural,General,Beginner,17
Burpee,General,General,Intermediate,18
Sit-Up,General,General,Intermediate,19
30 Air Squats.,General,General,Intermediate,20
Handstand Push-Up,Gymnastics,Push,Intermediate,21
45 Kgs)),General,General,Intermediate,22
7 Knees-To-Elbows,General,General,Intermediate,23
75 Kgs)),General,General,Intermediate,24
1.5Pood),General,General,Intermediate,25
Snatch,Weightlifting,Hinge,Intermediate,26
30 Kgs)),General,General,Intermediate,27
9; Etc.),General,General,Intermediate,28
15 Kgs)),General,General,Intermediate,29
20 Dumbbell Box Step-Overs (20 In),General,General,Intermediate,30
20 V-Ups.,General,General,Intermediate,31
Double Under,General,General,Intermediate,32
Toes-To-Bar,Gymnastics,General,Intermediate,33
15 Back Extensions.,General,General,Intermediate,34
10 Goblet Squats (24,General,General,Intermediate,35
85 Kgs)),General,General,Intermediate,36
20 In).,General,General,Intermediate,37
Odd Minutes: Max Effort Strict Press ((45,Weightlifting,Push,Intermediate,38
30 Kgs)). Partner A Works,General,General,Intermediate,39
15 Calorie Bike,Monostructural,General,Beginner,40
10 Overhead Squats ((45,General,General,Intermediate,41
30 Kgs)). Must Complete All Reps Of One Exercise Before Moving To The Next.,General,General,Intermediate,42
5 Devil'S Press ((25,Weightlifting,Push,Intermediate,43
10 Alternating Pistol Squats (Or Weighted Lunges).,General,General,Intermediate,44
Minute 1: 12,General,General,Intermediate,45
10 Kgs)),General,General,Intermediate,46
10 Dumbbell Box Step-Overs (20 In).,General,General,Intermediate,47
60 Kgs)),General,General,Intermediate,48
8 Calorie Bike.,Monostructural,General,Beginner,49
100 Single Unders,General,General,Intermediate,50
10 Walking Lunges (Per Leg).,General,General,Intermediate,51
50 Ft Single-Arm Overhead Dumbbell Carry (Right Arm,General,General,Intermediate,52
50 Ft Single-Arm Overhead Dumbbell Carry (Left Arm),General,General,Intermediate,53
30 Kgs)). Rest With Any Remaining Time.,General,General,Intermediate,54
15 Squats. After Each Round,General,General,Intermediate,55
20 In),General,General,Intermediate,56
16 Kg).,General,General,Intermediate,57
25 Kgs)). Minutes 6-10: 5 Dumbbell Shoulder-To-Overhead. Minutes 11-15: 5 Dumbbell Squats (Holding Dbs).,General,General,Intermediate,58
10 Push Press ((45,Weightlifting,Push,Intermediate,59
Odd Minutes: 12,General,General,Intermediate,60
24 In).,General,General,Intermediate,61
24 Kg),General,General,Intermediate,62
15 Squats. Score Is Total Rounds,General,General,Intermediate,63
Muscle-Up,Gymnastics,General,Intermediate,64
50 Push Press ((45,Weightlifting,Push,Intermediate,65
Push Press) At (60,Weightlifting,Push,Intermediate,66
45 Kgs).,General,General,Intermediate,67
10 Back Squats ((85,General,General,Intermediate,68
10 Strict Press ((35,Weightlifting,Push,Intermediate,69
50 Ft Dual Dumbbell Overhead Lunge ((25,General,General,Intermediate,70
100 Kgs)),General,General,Intermediate,71
5 Kgs)). Minute 2: 100 Ft Single Arm Farmer'S Carry ((30,General,General,Intermediate,72
25 Kgs),General,General,Intermediate,73
Right Arm). Minute 3: 100 Ft Single Arm Farmer'S Carry ((30,General,General,Intermediate,74
10 Overhead Squats ((50,General,General,Intermediate,75
